,accuracy_validation,top5_accuracy_validation,accuracy_test,top5_accuracy_test,accuracy_validation_degraded,top5_accuracy_validation_degraded,accuracy_test_degraded,top5_accuracy_test_degraded
Classify To Learn ResNet50,0.29880478087649404,1.693227091633466,N/A,N/A,N/A,N/A,N/A,N/A
Colorizer + Labels Clustering,0.398406374501992,2.49003984063745,N/A,N/A,N/A,N/A,N/A,N/A
Colorizer + Data Augmentation,0.49800796812749004,2.788844621513944,N/A,N/A,N/A,N/A,N/A,N/A
Sparse Autoencoder,0.796812749003984,2.091633466135458,N/A,N/A,N/A,N/A,N/A,N/A
Colorizer,1.0956175298804782,3.386454183266932,N/A,N/A,N/A,N/A,N/A,N/A
Baseline,1.593625498007968,6.175298804780876,N/A,N/A,N/A,N/A,N/A,N/A
Pretrained ResNet50 (ImageNet1k) Augmented Training Pytorch Weights,22.808764940239044,46.31474103585657,N/A,N/A,16.235059760956176,35.55776892430279,N/A,N/A
Pretrained ResNet50 (ImageNet1k),25.39840637450199,49.40239043824701,29.87326996831749,55.61113890278473,N/A,N/A,18.325829581457395,36.87677171919293
Pretrained ResNet50 (ImageNet1k) Augmented Training Trained Weights,26.195219123505975,52.788844621513945,N/A,N/A,18.92430278884462,36.05577689243028,N/A,N/A
Pretrained ResNet50 (FOOD101) Augmented Training Trained Weights,28.286852589641438,51.79282868525896,N/A,N/A,23.107569721115535,45.41832669322709,N/A,N/A
Pretrained ResNet50 (FOOD101) Augmented Training Original Weights,28.984063745019924,54.482071713147405,27.69418042354049,62.673003168250794,24.40239043824701,47.808764940239044,29.214607303651825,54.98582624645656
Pretrained ResNet50 (FOOD101),32.669322709163346,59.26294820717132,39.73653493413373,67.60046690011673,N/A,N/A,26.721694180423544,48.79939969984993
